B365H,B365D,B365A,overall_player_home_rating,overall_player_away_rating,result_home
2.05,3.5,3.5,63.54545454545455,63.845454545454544,D
2.8,3.3,2.45,65.0,68.84545454545454,W
1.95,3.2,4.2,60.27272727272727,65.72727272727273,W
2.55,3.3,2.7,62.0,65.08181818181818,D
3.4,3.4,2.1,66.0909090909091,66.27272727272727,L
1.91,3.4,4.0,64.01818181818182,68.03636363636363,W
3.25,3.4,2.2,63.31818181818182,61.72727272727273,W
1.1,9.0,21.0,69.15454545454546,66.05454545454546,W
7.0,4.0,1.5,65.2090909090909,65.91818181818182,D
1.06,11.0,29.0,73.36363636363636,62.790909090909096,W
1.55,4.2,5.5,64.01818181818182,66.02727272727272,W
2.0,3.4,3.75,64.83636363636364,62.36363636363637,W
2.5,3.2,2.88,65.12727272727273,64.18181818181819,L
3.3,3.3,2.2,63.472727272727276,64.36363636363636,D
1.22,5.75,13.0,66.26363636363637,63.28181818181818,W
1.33,5.0,9.0,64.2,64.67272727272727,W
7.5,5.0,1.36,63.01818181818182,70.66363636363636,W
2.25,3.3,3.2,65.9090909090909,65.18181818181819,D
2.2,3.2,3.4,65.92727272727274,61.07272727272727,D
5.0,4.2,1.57,62.63636363636363,68.54545454545455,L
2.05,3.3,3.6,63.36363636363637,62.7,D
2.2,3.3,3.3,64.36363636363636,62.09090909090909,D
1.67,3.75,5.0,73.9090909090909,67.91818181818182,L
1.3,5.5,8.5,67.24545454545455,66.02727272727272,W
1.62,3.6,6.0,65.0,64.25454545454545,D
1.62,3.75,5.5,63.83636363636364,65.61818181818181,W
1.44,4.33,7.0,61.72727272727273,67.45454545454545,W
1.73,3.5,5.0,64.66363636363636,65.27272727272727,L
3.5,3.2,2.15,62.76363636363636,61.0,D
2.1,3.2,3.6,63.31818181818182,67.72727272727273,L
2.15,3.0,3.8,65.69090909090909,63.91818181818182,L
2.0,3.3,3.75,65.35454545454546,65.0,D
1.44,4.2,7.5,67.24545454545455,63.72727272727273,D
9.5,6.0,1.25,67.45454545454545,71.97272727272728,L
1.44,4.2,7.5,65.63636363636364,63.345454545454544,L
3.8,3.3,2.0,62.90909090909091,61.72727272727273,L
1.44,4.5,6.5,61.92727272727273,61.09090909090909,L
1.53,3.8,6.5,64.18181818181819,63.75454545454545,W
15.0,7.5,1.18,63.49090909090909,70.49090909090908,L
3.6,3.3,2.05,67.45454545454545,63.845454545454544,L
1.57,3.75,6.0,63.72727272727273,67.36363636363636,W
1.08,12.0,23.0,68.36363636363636,66.21818181818182,W
1.8,3.6,4.33,64.33636363636364,62.790909090909096,W
6.0,3.8,1.57,61.45454545454545,67.08181818181818,L
3.4,3.0,2.3,65.22727272727273,62.27272727272727,D
3.1,3.4,2.25,63.66363636363636,66.02727272727272,W
1.5,3.9,7.0,62.76363636363636,63.63636363636363,L
9.0,5.0,1.33,65.63636363636364,68.45454545454545,D
1.67,3.6,5.5,65.08181818181818,65.0909090909091,W
1.33,5.0,8.5,63.654545454545456,62.45454545454545,W
2.8,3.4,2.4,65.47272727272728,65.63636363636364,L
1.67,4.0,4.75,69.51818181818182,63.09090909090909,W
5.25,4.0,1.62,64.54545454545455,71.84545454545454,L
1.53,3.75,7.0,68.92727272727274,64.27272727272727,D
3.0,3.2,2.4,65.18181818181819,64.75454545454545,L
1.13,8.5,17.0,72.15454545454546,60.98181818181818,W
3.0,3.2,2.38,64.27272727272727,66.48181818181818,W
2.7,3.25,2.6,61.90909090909091,64.89090909090909,D
2.63,3.3,2.63,61.27272727272727,63.790909090909096,D
2.05,3.4,3.6,67.36363636363636,61.09090909090909,L
1.95,3.2,4.2,63.81818181818182,61.81818181818182,D
2.75,3.2,2.6,64.2909090909091,67.73636363636363,W
2.15,3.1,3.6,63.09090909090909,66.0909090909091,D
1.8,3.4,4.75,63.59090909090909,62.49090909090909,D
9.0,6.5,1.25,63.3,73.36363636363636,L
1.8,3.5,4.5,66.36363636363636,62.98181818181818,W
2.5,3.25,2.8,64.55454545454546,61.27272727272727,W
1.4,4.4,8.0,64.27272727272727,66.27272727272727,W
2.38,3.2,3.0,63.72727272727273,65.45454545454545,L
1.2,6.5,15.0,73.18181818181819,64.48181818181818,W
2.2,3.3,3.3,62.1090909090909,63.39090909090908,L
3.25,3.0,2.38,61.09090909090909,62.72727272727273,L
1.91,3.6,3.75,67.2,63.90909090909091,D
13.0,7.5,1.17,64.0,68.93636363636364,L
1.1,9.0,21.0,71.83636363636364,63.45454545454545,W
1.33,4.75,9.5,70.9090909090909,64.62727272727273,W
4.5,3.4,1.83,65.18181818181819,63.527272727272724,W
3.6,3.4,2.05,65.2909090909091,63.27272727272727,L
1.33,5.0,9.0,65.36363636363636,62.09090909090909,W
1.53,4.0,6.0,63.18181818181818,64.76363636363637,L
1.44,4.5,6.0,63.27272727272727,65.0909090909091,W
3.4,3.2,2.2,61.45454545454545,61.90909090909091,D
1.36,4.75,8.5,64.2909090909091,66.41818181818182,W
3.3,3.25,2.2,62.09090909090909,64.57272727272726,L
2.38,3.75,3.0,72.63636363636364,73.98181818181818,W
2.1,3.1,3.75,64.63636363636364,62.709090909090904,D
7.0,3.75,1.53,65.18181818181819,66.43636363636364,L
1.91,3.4,4.0,63.309090909090905,65.18181818181819,D
2.0,3.4,3.75,64.18181818181819,65.18181818181819,W
1.83,3.5,4.33,62.72727272727273,64.16363636363636,W
2.2,3.1,3.5,64.0909090909091,64.0909090909091,L
2.2,3.4,3.2,60.36363636363637,62.72727272727273,L
1.18,6.5,15.0,66.13636363636364,65.10000000000001,W
1.13,8.5,17.0,68.24545454545455,64.45454545454545,L
12.0,7.0,1.2,61.76363636363636,72.57272727272726,L
2.63,3.1,2.75,64.47272727272728,65.07272727272726,W
2.1,3.4,3.4,64.45454545454545,63.81818181818182,L
2.4,3.3,2.9,65.74545454545455,62.81818181818182,W
2.4,3.1,3.1,65.72727272727273,61.3,W
2.05,3.2,3.8,66.2090909090909,64.72727272727273,L
2.25,3.1,3.4,63.290909090909096,67.36363636363636,D
2.0,3.2,4.0,64.0909090909091,64.63636363636364,D
17.0,7.5,1.14,61.45454545454545,65.98181818181818,L
1.57,3.8,6.0,64.45454545454545,61.8,D
1.05,15.0,26.0,71.81818181818181,64.36363636363636,W
1.57,3.75,6.0,65.0909090909091,64.81818181818181,W
4.33,3.6,1.8,63.209090909090904,67.58181818181819,W
3.1,3.2,2.3,64.35454545454546,64.54545454545455,D
1.62,4.0,5.25,63.74545454545455,62.81818181818182,D
1.25,5.5,12.0,62.54545454545455,67.67272727272727,D
1.8,3.5,4.5,64.65454545454546,65.07272727272726,W
1.44,4.2,7.5,69.36363636363636,64.76363636363637,W
3.4,3.25,2.15,67.54545454545455,62.7,D
1.2,7.0,11.0,71.0909090909091,63.72727272727273,W
15.0,6.5,1.18,64.72727272727273,72.93636363636364,L
2.0,3.2,4.0,64.8,61.93636363636363,D
1.44,4.5,6.5,61.72727272727273,64.0909090909091,W
5.0,3.75,1.67,66.45454545454545,64.28181818181817,W
2.7,3.3,2.55,65.02727272727272,63.18181818181818,W
2.0,3.3,3.8,61.49090909090909,61.90909090909091,D
1.7,3.75,5.0,62.92727272727273,65.14545454545454,W
2.88,3.1,2.63,65.54545454545455,63.7,L
1.67,3.7,5.5,64.53636363636363,67.34545454545454,W
1.62,4.0,5.5,63.90909090909091,65.72727272727273,L
10.0,6.0,1.29,66.18181818181819,72.93636363636364,L
1.18,7.0,17.0,68.81818181818181,67.0,W
4.33,3.6,1.85,62.83636363636364,62.90909090909091,L
6.0,4.33,1.53,63.26363636363637,71.52727272727272,L
1.44,4.5,7.5,65.18181818181819,60.98181818181818,W
2.38,3.4,3.0,62.18181818181818,62.51818181818182,L
3.6,3.25,2.1,66.9090909090909,66.54545454545455,L
7.0,3.75,1.57,65.65454545454546,69.60909090909091,L
1.4,4.5,9.0,64.38181818181819,61.16363636363636,L
1.09,12.0,21.0,72.72727272727273,64.27272727272727,W
1.67,3.75,5.5,64.54545454545455,62.61818181818182,W
1.09,12.0,21.0,70.30909090909091,62.9,W
3.9,3.4,2.0,63.03636363636363,63.23636363636363,D
3.3,3.4,2.2,62.845454545454544,65.07272727272726,L
2.6,3.1,2.9,67.39999999999999,63.67272727272727,D
2.05,3.2,4.0,66.0,61.63636363636363,W
17.0,7.5,1.17,61.36363636363637,69.2090909090909,L
2.2,3.2,3.5,61.845454545454544,65.94545454545454,D
13.0,6.5,1.22,65.72727272727273,70.45454545454545,D
1.5,4.5,6.0,63.790909090909096,62.93636363636363,W
2.1,3.3,3.5,66.54545454545455,63.54545454545455,W
1.62,4.0,5.5,69.33636363636364,64.54545454545455,L
2.5,3.2,3.0,65.2,64.34545454545454,D
1.7,3.6,5.5,64.89999999999999,62.8,W
1.4,4.5,9.0,64.34545454545454,64.72727272727273,D
2.25,3.2,3.4,66.27272727272727,64.27272727272727,W
1.44,4.5,6.5,64.18181818181819,60.66363636363636,L
3.0,3.2,2.5,65.88181818181819,65.48181818181818,D
1.06,15.0,26.0,67.39999999999999,61.63636363636363,W
2.3,3.4,3.1,62.17272727272727,64.62727272727273,L
3.8,3.3,2.05,66.0,62.18181818181818,L
3.1,3.1,2.5,64.63636363636364,68.38181818181819,L
1.33,5.0,10.0,64.54545454545455,66.0,W
3.6,3.1,2.25,64.83636363636364,68.24545454545455,L
2.38,3.1,3.3,62.72727272727273,66.30909090909091,D
5.0,3.6,1.75,65.63636363636364,64.18181818181819,D
3.2,3.1,2.4,65.27272727272727,62.57272727272727,W
1.2,6.5,17.0,68.18181818181819,67.21818181818182,W
1.67,3.8,5.5,64.52727272727272,64.0909090909091,W
1.53,4.1,6.5,63.127272727272725,59.81818181818182,L
9.0,5.25,1.33,65.92727272727274,67.39999999999999,W
2.25,3.4,3.2,65.0,64.46363636363635,L
1.85,3.4,4.75,65.17272727272727,65.54545454545455,L
5.5,4.33,1.57,65.88181818181819,72.93636363636364,W
2.6,3.0,3.0,61.90909090909091,61.81818181818182,W
2.1,3.1,3.75,67.7,66.0909090909091,D
3.0,3.2,2.5,64.67272727272727,64.54545454545455,D
2.3,3.1,3.4,64.63636363636364,67.08181818181818,W
1.08,11.0,29.0,71.72727272727273,64.71818181818182,W
2.7,3.2,2.7,64.18181818181819,64.66363636363636,D
1.53,3.8,7.5,65.74545454545455,65.02727272727272,L
1.57,4.33,5.5,70.12727272727273,68.06363636363636,W
2.8,3.1,2.7,60.27272727272727,64.81818181818181,D
4.75,3.4,1.85,62.39090909090908,64.8,L
1.67,3.75,5.5,63.709090909090904,63.154545454545456,L
2.6,3.0,3.0,63.27272727272727,65.18181818181819,D
1.67,3.8,5.5,64.0909090909091,63.66363636363636,W
1.91,3.5,4.2,63.654545454545456,66.39090909090909,L
2.7,3.25,2.7,63.945454545454545,65.18181818181819,W
1.33,5.0,10.0,63.654545454545456,61.72727272727273,W
2.2,3.2,3.6,65.36363636363636,63.8,W
15.0,7.5,1.18,65.18181818181819,70.07272727272726,L
